"country","mutluluk","mutluluk_1","mutluluk_2","mutluluk_3","score"
"Finland",7.406,7.413,7.469,7.632,7.769
"Denmark",7.527,7.526,7.522,7.555,7.600
"Norway",7.522,7.498,7.537,7.594,7.554
"Iceland",7.561,7.501,7.504,7.495,7.494
"Netherlands",7.378,7.339,7.377,7.441,7.488
"Switzerland",7.587,7.509,7.494,7.487,7.480
"Sweden",7.364,7.291,7.284,7.314,7.343
"New Zealand",7.286,7.334,7.314,7.324,7.307
"Canada",7.427,7.404,7.316,7.328,7.278
"Austria",7.200,7.119,7.006,7.139,7.246
"Australia",7.284,7.313,7.284,7.272,7.228
"Costa Rica",7.226,7.087,7.079,7.072,7.167
"Israel",7.278,7.267,7.213,6.814,7.139
"Luxembourg",6.946,6.871,6.863,6.910,7.090
"United Kingdom",6.867,6.725,6.714,7.190,7.054
"Ireland",6.940,6.907,6.977,6.977,7.021
"Germany",6.750,6.994,6.951,6.965,6.985
"Belgium",6.937,6.929,6.891,6.927,6.923
"United States",7.119,7.104,6.993,6.886,6.892
"Czech Republic",6.505,6.596,6.609,6.711,6.852
"United Arab Emirates",6.901,6.573,6.648,6.774,6.825
"Malta",6.302,6.488,6.527,6.627,6.726
"Mexico",7.187,6.778,6.578,6.488,6.595
"France",6.575,6.478,6.442,6.489,6.592
"Chile",6.670,6.705,6.652,6.476,6.444
"Guatemala",6.123,6.324,6.454,6.382,6.436
"Saudi Arabia",6.411,6.379,6.344,6.371,6.375
"Qatar",6.611,6.375,6.375,6.374,6.374
"Spain",6.329,6.361,6.403,6.310,6.354
"Panama",6.786,6.701,6.452,6.430,6.321
"Brazil",6.983,6.952,6.635,6.419,6.300
"Uruguay",6.485,6.545,6.454,6.379,6.293
"Singapore",6.798,6.739,6.572,6.343,6.262
"El Salvador",6.130,6.068,6.003,6.167,6.253
"Italy",5.948,5.977,5.964,6.000,6.223
"Bahrain",5.960,6.218,6.087,6.105,6.199
"Slovakia",5.995,6.078,6.098,6.173,6.198
"Poland",5.791,5.835,5.973,6.123,6.182
"Uzbekistan",6.003,5.987,5.971,6.096,6.174
"Lithuania",5.833,5.813,5.902,5.952,6.149
"Colombia",6.477,6.481,6.357,6.260,6.125
"Slovenia",5.848,5.768,5.758,5.948,6.118
"Nicaragua",5.828,5.992,6.071,6.141,6.105
"Kosovo",5.589,5.401,5.279,5.662,6.100
"Argentina",6.574,6.650,6.599,6.388,6.086
"Romania",5.124,5.528,5.825,5.945,6.070
"Cyprus",5.689,5.546,5.621,5.762,6.046
"Ecuador",5.975,5.976,6.008,5.973,6.028
"Kuwait",6.295,6.239,6.105,6.083,6.021
"Thailand",6.455,6.474,6.424,6.072,6.008
"Latvia",5.098,5.560,5.850,5.933,5.940
"South Korea",5.984,5.835,5.838,5.875,5.895
"Estonia",5.429,5.517,5.611,5.739,5.893
"Jamaica",5.709,5.510,5.311,5.890,5.890
"Mauritius",5.477,5.648,5.629,5.891,5.888
"Japan",5.987,5.921,5.920,5.915,5.886
"Honduras",4.788,4.871,5.181,5.504,5.860
"Kazakhstan",5.855,5.919,5.819,5.790,5.809
"Bolivia",5.890,5.822,5.823,5.752,5.779
"Hungary",4.800,5.145,5.324,5.620,5.758
"Paraguay",5.878,5.538,5.493,5.681,5.743
"Peru",5.824,5.743,5.715,5.663,5.697
"Portugal",5.102,5.123,5.195,5.410,5.693
"Pakistan",5.194,5.132,5.269,5.472,5.653
"Russia",5.716,5.856,5.963,5.810,5.648
"Philippines",5.073,5.279,5.430,5.524,5.631
"Serbia",5.123,5.177,5.395,5.398,5.603
"Moldova",5.889,5.897,5.838,5.640,5.529
"Libya",5.754,5.615,5.525,5.566,5.525
"Montenegro",5.192,5.161,5.237,5.347,5.523
"Tajikistan",4.786,4.996,5.041,5.199,5.467
"Croatia",5.759,5.488,5.293,5.321,5.432
"Dominican Republic",4.885,5.155,5.230,5.302,5.425
"Bosnia and Herzegovina",4.949,5.163,5.182,5.129,5.386
"Turkey",5.332,5.389,5.500,5.483,5.373
"Malaysia",5.770,6.005,6.084,6.322,5.339
"Belarus",5.813,5.802,5.569,5.483,5.323
"Greece",4.857,5.033,5.227,5.358,5.287
"Mongolia",4.874,4.907,4.955,5.125,5.285
"Nigeria",5.268,4.875,5.074,5.155,5.265
"Kyrgyzstan",5.286,5.185,5.004,5.131,5.261
"Turkmenistan",5.548,5.658,5.822,5.636,5.247
"Algeria",5.605,6.355,5.872,5.295,5.211
"Morocco",5.013,5.151,5.235,5.254,5.208
"Azerbaijan",5.212,5.291,5.234,5.201,5.208
"Lebanon",4.839,5.129,5.225,5.358,5.197
"Indonesia",5.399,5.314,5.262,5.093,5.192
"China",5.140,5.245,5.273,5.246,5.191
"Vietnam",5.360,5.061,5.074,5.103,5.175
"Bhutan",5.253,5.196,5.011,5.082,5.082
"Cameroon",4.252,4.513,4.695,4.975,5.044
"Bulgaria",4.218,4.217,4.714,4.933,5.011
"Ghana",4.633,4.276,4.120,4.657,4.996
"Ivory Coast",3.655,3.916,4.180,4.671,4.944
"Nepal",4.514,4.793,4.962,4.880,4.913
"Jordan",5.192,5.303,5.336,5.161,4.906
"Benin",3.340,3.484,3.657,4.141,4.883
"Congo (Brazzaville)",3.989,4.236,4.291,4.559,4.812
"Gabon",3.896,4.121,4.465,4.758,4.799
"South Africa",4.642,4.459,4.829,4.724,4.722
"Albania",4.959,4.655,4.644,4.586,4.719
"Venezuela",6.810,6.084,5.250,4.806,4.707
"Cambodia",3.819,3.907,4.168,4.433,4.700
"Palestinian Territories",4.715,4.754,4.775,4.743,4.696
"Senegal",3.904,4.219,4.535,4.631,4.681
"Niger",3.845,3.856,4.028,4.166,4.628
"Burkina Faso",3.587,3.739,4.032,4.424,4.587
"Armenia",4.350,4.360,4.376,4.321,4.559
"Iran",4.686,4.813,4.692,4.707,4.548
"Guinea",3.656,3.607,3.507,3.964,4.534
"Georgia",4.297,4.252,4.286,4.340,4.519
"Kenya",4.419,4.356,4.553,4.410,4.509
"Mauritania",4.436,4.201,4.292,4.356,4.490
"Tunisia",4.739,5.045,4.805,4.592,4.461
"Bangladesh",4.694,4.643,4.608,4.500,4.456
"Iraq",4.677,4.575,4.497,4.456,4.437
"Congo (Kinshasa)",4.517,4.272,4.280,4.245,4.418
"Mali",3.995,4.073,4.190,4.447,4.390
"Sierra Leone",4.507,4.635,4.709,4.571,4.374
"Sri Lanka",4.271,4.415,4.440,4.471,4.366
"Myanmar",4.307,4.395,4.545,4.308,4.360
"Chad",3.667,3.763,3.936,4.301,4.350
"Ukraine",4.681,4.324,4.096,4.103,4.332
"Ethiopia",4.512,4.508,4.460,4.350,4.286
"Uganda",3.931,3.739,4.081,4.161,4.189
"Egypt",4.194,4.362,4.735,4.419,4.166
"Zambia",5.129,4.795,4.514,4.377,4.107
"Togo",2.839,3.303,3.495,3.999,4.085
"India",4.565,4.404,4.315,4.190,4.015
"Liberia",4.571,3.622,3.533,3.495,3.975
"Madagascar",3.681,3.695,3.644,3.774,3.933
"Burundi",2.905,2.905,2.905,2.905,3.775
"Zimbabwe",4.610,4.193,3.875,3.692,3.663
"Haiti",4.518,4.028,3.603,3.582,3.597
"Botswana",4.332,3.974,3.766,3.590,3.488
"Syria",3.006,3.069,3.462,3.462,3.462
"Malawi",4.292,4.156,3.970,3.587,3.410
"Yemen",4.077,3.724,3.593,3.355,3.380
"Rwanda",3.465,3.515,3.471,3.408,3.334
"Tanzania",3.781,3.666,3.349,3.303,3.231
"Afghanistan",3.575,3.360,3.794,3.632,3.203
